Site,Lithology,surveyYear,Elevation,Slope,Aspect,Protection,sJan,sFeb,sMar,sApr,sMay,sJun,sJul,sAug,sSep,sOct,sNov,sDec,sAnnual,BIO1,BIO5,BIO6,BIO12,BIO19,sevObserved,dNBR91,dNBR03,dNBR06,dNBR07,lastFire91,lastFire03,lastFire06,lastFire07,lastFire13
22,Granite,2008,1289,8,340,12,201558,164154,145793,99144,66692,45689,59624,89778,133702,167295,191530,206753,200320,8.38655,19.2759,-3.88204,1549,485,1,164,20,230,-46,1952,1952,2003,2003,2003
23,Igneous,2009,1283,15,77,28,193515,156164,136285,91207,60069,40942,53455,82067,124359,158474,183541,199140,194674,8.47981,19.8496,-3.60206,1123,337,2,250,20,8,-58,1988,1988,2003,2003,2003
24,Igneous,2008,1304,13,264,25,195516,155886,133676,87341,56217,38037,49751,78035,121171,157601,184937,202045,195516,8.40672,19.1995,-4.11429,1258,393,2,120,0,32,219,1939,1939,1939,1939,2007
25,Basalt,2008,1378,13,270,22,197358,157903,136392,89873,58514,39743,51915,80562,123906,159903,186815,203571,197358,8.37648,19.7472,-3.88459,1475,468,1,200,10,40,-35,1980,1980,2003,2003,2003
26,Basalt,2008,1485,14,175,21,192039,147876,119520,72038,42595,27920,36893,62606,106154,147271,180480,200276,193384,7.68439,18.245,-4.63553,1598,514,3,121,40,15,-148,1985,1985,2003,2003,2003
27,Metamorphic,2008,1457,23,8,32,198799,168153,158308,115003,81937,57352,74213,106190,147865,174034,190272,201692,198799,8.21386,19.1475,-3.06868,1563,440,3,-193,40,-41,208,1952,1952,2003,2003,2003
28,Granite,2008,1280,20,82,27,190796,153867,134126,89639,58923,40194,52424,80584,122410,156110,180949,196315,190796,8.60616,20.29,-4.12458,1524,475,3,147,30,12,-4,1952,1952,2003,2003,2003
29,Metamorphic,2008,1350,18,201,39,182144,139084,110559,64771,36529,23016,31168,55651,97492,138025,170875,190503,182144,8.08148,19.0555,-3.50285,1478,409,1,-799,20,288,-251,1952,1952,2003,2003,2003
30,Granite,2009,1405,19,186,30,175327,131500,100518,56065,29691,18870,25017,47243,87550,129277,163896,184914,181894,7.92706,18.8949,-4.07082,1315,354,3,60,30,24,-72,1939,1939,2003,2003,2003
31,Unknown,2008,1084,6,11,13,196739,159447,140396,94300,62556,42319,55699,85022,128348,162212,186769,202080,196739,9.42818,21.16,-2.9962,1361,425,1,-550,20,67,-74,1952,1952,2003,2003,2003
32,Granite,2008,1063,12,241,21,190348,151331,129086,83596,53423,35861,47168,74402,116846,152581,180057,196601,187943,8.62321,19.5915,-3.48503,1219,338,1,-259,20,53,-11,1972,1972,2003,2003,2003
33,Unknown,2008,1160,11,251,17,192089,151267,127240,80936,50942,33852,44774,71787,114554,152079,181378,198914,192038,8.92945,20.4926,-3.39465,1438,447,1,-495,10,9,158,1952,1952,2003,2003,2003
34,Unknown,2009,1151,4,94,1,197148,157476,135518,88685,57292,38699,50737,79264,122971,159267,186611,203404,197148,9.35052,20.9412,-3.09879,1132,343,2,167,20,2,-129,1976,1976,2003,2003,2003
35,Metamorphic,2009,1061,14,14,20,195994,161503,146247,101344,69269,47562,62133,92272,134869,165487,186616,200232,195242,9.56588,21.1802,-2.76479,1254,378,1,252,30,14,8,1981,1981,2003,2003,2003
36,Granite,2008,1295,31,168,52,159726,115683,82614,41110,19456,13108,16113,33223,70014,111979,148358,169127,160422,8.41385,19.4466,-3.92506,1138,287,3,140,30,18,-119,1939,1939,2003,2003,2003
37,Granite,2008,1157,24,286,52,177924,144110,125398,83853,56317,38411,50436,75550,114258,146169,168665,183949,182914,7.90491,18.9651,-4.15132,1400,394,3,-422,1,-64,-275,1972,1972,2003,2003,2003
38,Metamorphic,2008,1149,20,122,31,179863,139701,114300,69914,42170,27702,36624,61239,101961,139428,169352,187102,180481,8.81606,20.0046,-2.81463,1370,382,3,-259,40,-83,103,1939,1939,2003,2003,2003
39,Unknown,2009,1205,17,127,28,183475,141812,115437,70261,42164,27776,36653,61226,102851,141460,172572,191154,190630,9.04724,20.1398,-3.86763,1214,384,3,117,30,11,-81,1965,1965,2003,2003,2003
40,Granite,2008,1122,27,306,36,184797,153746,140727,99392,68813,47591,61925,90886,130423,157929,176361,188364,184508,9.5669,21.4817,-3.24332,1252,397,2,119,1,31,-54,1939,1939,2003,2003,2003
41,Metamorphic,2008,1099,16,271,12,190807,153025,132380,87315,56731,38394,50302,78230,120311,155035,180705,196698,189813,10.0616,21.3511,-2.06709,1163,341,1,45,20,192,-142,1964,1964,2003,2003,2003
42,Granite,2008,1159,26,125,43,176098,135681,110860,67673,40582,26955,35350,59030,98802,135382,165404,183211,172409,8.87095,20.2499,-2.99203,1372,396,,-572,20,243,-108,1972,1972,2003,2003,2003
43,Metamorphic,2008,1111,19,176,27,177609,134057,104216,58055,32234,20629,27473,49301,90566,132492,166244,185959,175390,8.99763,20.413,-2.94663,1260,353,,-803,0,102,-230,1952,1952,2003,2003,2003
44,Metamorphic,2008,1085,11,81,22,186981,149123,127490,83094,53190,35914,47039,74084,115564,150588,176933,193096,193124,10.3324,21.3248,-1.95713,1179,347,1,57,20,64,-99,1976,1976,2003,2003,2003
45,Metamorphic,2008,1165,27,176,43,165423,121473,89531,46537,23039,14408,19099,38193,76706,118473,154030,174459,165423,8.42115,19.172,-3.45427,1296,362,1,-145,30,-33,-23,1952,1952,2003,2003,2003
46,Unknown,2008,1405,15,235,21,192606,150565,125143,78529,48438,32440,42496,69165,112193,151000,181480,199977,192606,7.96287,18.9962,-4.8831,1564,486,3,-304,10,7,42,1985,1985,2003,2003,2003
47,Metamorphic,2008,1324,15,109,18,190245,149263,124493,78607,48741,32674,42835,69308,111823,149899,179394,197526,194024,8.65145,19.8145,-2.8924,1451,420,1,-102,20,2,-384,1964,1964,2003,2003,2003
48,Granite,2008,1319,11,304,10,200081,162419,143627,97222,64987,44469,58020,87867,131519,165414,189935,205530,200081,8.4534,19.094,-3.88719,1457,457,1,15,30,111,-21,1985,1985,2003,2003,2003
49,Unknown,2008,1355,26,262,41,178585,138843,114721,71323,43547,29187,38079,62637,102617,138893,168187,185511,179653,7.67336,18.766,-4.43626,1443,409,1,-592,30,73,-535,1972,1972,2003,2003,2003
50,Granite,2008,1441,23,131,34,181452,139269,111604,66602,39054,25688,33773,57793,98933,138339,170407,189496,188475,7.45644,17.9823,-3.90932,1530,402,1,143,20,23,-136,1952,1952,2003,2003,2003
51,Metamorphic,2010,1291,7,231,10,196507,155274,131401,84235,53314,35807,46981,74789,118570,156374,185592,203359,196303,8.71478,19.8648,-3.82255,1239,390,1,94,0,107,-45,1980,1980,1980,1980,1980
52,Granite,2009,1314,17,97,24,191069,152121,129896,84579,54178,36674,47945,75390,117642,153601,180702,197446,194118,8.48413,19.2423,-3.52757,1177,359,2,488,0,20,1,1979,1991,1991,1991,1991
53,Granite,2009,1256,17,42,26,199826,164215,147892,102253,69674,47966,62472,93015,136219,168010,190209,204452,200570,9.36565,21.0617,-3.01137,1184,370,2,46,0,88,8,1979,1979,1979,1979,1979
54,Granite,2009,1295,8,92,6,197443,157546,135503,88662,57345,38808,50794,79282,122923,159312,186839,203775,201039,8.8106,20.2025,-3.42939,1177,363,2,108,0,24,-37,1979,1979,1979,1979,1979
55,Unknown,2009,1289,11,270,15,197279,157758,136155,89489,58136,39402,51548,80142,123667,159673,186762,203494,197279,8.85931,20.4381,-3.37868,1219,382,3,111,0,-95,-61,1981,1981,1981,1981,1981
56,Granite,2009,1261,32,100,50,172194,136118,115090,73997,46680,31727,41213,65601,104020,136985,162745,178111,172194,9.32497,20.9688,-3.03505,1179,367,2,51,0,43,12,1979,1979,1979,1979,1979
57,Metamorphic,2009,1270,17,61,29,195352,157960,138380,92828,61438,41862,54716,83668,126335,160563,185325,200954,195341,8.90468,20.297,-3.35376,1175,363,2,75,0,-9,-92,1979,1979,1979,1979,1979
58,Granite,2009,1286,20,219,31,186159,143076,115252,69166,40742,26749,35273,59973,102198,142421,174883,194191,186403,8.82227,20.4358,-3.45054,1305,420,1,144,0,-30,-485,1979,1979,1979,1979,1979
59,Granite,2009,1372,10,230,10,193200,150117,123333,76061,46146,30570,40236,66643,110160,150093,181889,200962,196681,9.42311,20.329,-2.31344,1326,429,2,95,0,76,-15,1985,1985,1985,1985,1985
60,Granite,2009,1274,9,32,7,201344,163991,145712,99168,66633,45662,59557,89777,133639,167193,191323,206532,201344,9.63629,20.9062,-2.31676,1316,431,2,75,0,79,-138,1985,1985,1985,1985,1985
61,Igneous,2008,1255,16,160,25,183472,140387,112469,66838,38874,25418,33576,57731,99531,139469,172184,191493,190040,8.86729,19.7904,-3.84719,1238,390,3,193,0,126,193,1939,1939,1939,1939,2007
62,Igneous,2009,1222,10,61,18,197767,159454,139477,93100,61400,41795,54635,83783,127227,161944,187485,203510,198539,9.06385,20.5529,-3.24848,1139,345,2,130,30,90,-78,1976,1976,2003,2003,2003
63,Granite,2009,1382,0,45,2,202754,162703,141160,93489,61189,41616,54371,83911,128471,164886,192083,208940,202414,7.74415,18.7871,-5.27472,1585,492,3,-377,20,234,-205,1952,1952,2003,2006,2006
64,Granite,2009,1364,8,252,19,200085,159500,136879,89416,57712,39056,51111,79894,124117,161199,189308,206591,198868,8.1491,19.3164,-4.88584,1508,471,3,-478,30,499,-344,1952,1952,2003,2006,2006
65,Granite,2010,1348,12,243,23,194546,153810,130205,83616,52949,35590,46669,74298,117473,154971,183739,201427,194972,7.767,18.7973,-5.12767,1597,496,1,-305,10,208,-124,1952,1952,2003,2006,2006
66,Granite,2010,1409,13,172,19,192720,149049,121657,74292,44565,29359,38749,64842,108410,148745,181308,200642,192720,7.85112,18.3008,-4.05977,1655,530,3,174,20,16,-116,1985,1985,2003,2003,2003
67,Metamorphic,2010,1470,9,122,12,197765,155358,130199,82506,51648,34606,45389,73015,117100,156070,186585,205049,200191,7.92923,19.3494,-4.58315,1271,360,1,197,20,45,-411,1986,1986,2003,2003,2003
68,Granite,2010,1371,7,151,15,197762,155628,130659,83031,52119,34846,45823,73536,117598,156415,186651,204945,196523,8.10301,18.5901,-4.27249,1208,353,3,172,20,-26,-74,1965,1965,2003,2003,2003
69,Metamorphic,2010,1490,14,117,23,195762,152960,127059,79591,49124,32839,43031,70162,113877,153338,184483,203277,196060,7.82186,18.5634,-4.96192,1368,424,3,193,50,-86,37,1939,1939,2003,2003,2003
70,Granite,2010,1406,19,128,25,187025,145087,118557,72865,44055,29238,38398,63646,105804,144980,175971,194816,189446,7.77809,18.3217,-4.73312,1278,388,1,133,20,74,-205,1965,1965,2003,2003,2003
71,Metamorphic,2010,1462,23,6,24,201829,168820,156429,111647,78576,54516,70977,102656,145356,174004,192786,205319,201829,7.72227,19.0536,-4.68181,1317,377,3,161,30,-27,101,1986,1986,2003,2003,2003
72,Granite,2010,1163,26,351,32,194613,163212,151362,107974,75629,52467,68216,99146,140651,168340,185971,198112,189662,9.38078,21.2289,-3.35058,1282,406,3,-101,1,-102,101,1939,1939,2003,2003,2003
73,Granite,2010,1105,12,106,22,187197,146010,121097,75514,46414,30731,40594,66380,108445,146420,176187,194287,189475,9.11629,20.5273,-2.82884,1311,379,1,-577,10,37,-127,1977,1977,2003,2003,2003
74,Metamorphic,2010,1160,12,311,17,197126,159804,140935,94988,63184,43108,56334,85723,128913,162629,187122,202497,196396,9.68023,20.8614,-2.21829,1241,362,1,-18,20,150,-617,1964,1964,2003,2003,2003
75,Granite,2010,1457,11,303,19,202559,164625,145879,99135,66630,45745,59565,89762,133681,167757,192333,207972,202559,7.93748,18.7843,-4.06294,1646,524,1,104,30,-32,-49,1985,1985,2003,2003,2003
76,Granite,2013,1418,15,124,36,195080,152812,127257,80074,49794,33002,43706,70586,114272,153382,183888,202367,187120,7.43908,18.0654,-4.0521,1437,356,1,160,10,98,-81,1939,1939,2003,2003,2003
77,Granite,2013,1539,11,162,19,196498,152736,125668,77715,47317,31431,41303,68144,112317,152725,185012,204356,197613,7.15384,17.7902,-4.07342,1462,362,3,59,40,-33,-14,1939,1939,2003,2003,2003
78,Metamorphic,2013,1446,16,129,24,190920,148486,122321,75875,46271,30866,40466,66539,109316,148601,179713,198532,192291,8.26398,19.8268,-4.05255,1021,285,1,86,30,102,-64,1981,1981,2003,2003,2003
79,Granite,2013,1440,12,338,20,203770,168271,152744,106722,73515,50892,66094,97422,141075,172506,194147,208194,204259,8.58987,19.0317,-2.43571,1528,434,1,64,10,-27,-107,1978,1978,2003,2003,2003
80,Granite,2013,1232,32,57,50,183285,153260,141621,100664,70034,47994,63035,92253,131477,157860,175058,186725,180202,8.94772,19.5915,-2.30031,1418,402,1,76,30,80,-84,1978,1978,2003,2003,2003
81,Unknown,2013,980,35,23,66,174752,151259,146460,109473,79506,55496,72215,101869,137906,157816,168102,175776,172161,10.3393,21.3401,-1.66302,1126,325,3,88,40,-39,-112,1978,1978,2003,2003,2003
82,Granite,2013,1441,16,73,22,199705,161496,141764,95357,63378,43312,56514,86061,129507,164227,189431,205473,197841,7.90892,19.03,-3.43904,1607,466,1,-263,20,87,-539,1972,1972,2003,2003,2003
83,Metamorphic,2013,1430,22,88,38,190763,152520,131767,86747,56531,38524,50214,77684,119802,154316,180579,196698,190710,7.56011,18.0235,-3.99166,1651,502,3,-472,40,1,39,1952,1952,2003,2003,2003
84,Granite,2013,1406,22,131,29,180304,138380,111230,66604,39134,25983,33907,57885,98606,137544,169367,188339,185475,7.47264,17.7087,-4.08647,1679,531,3,126,30,-52,-6,1952,1952,2003,2003,2003
85,Granite,2013,1419,23,103,34,184225,144078,119861,75119,46559,31155,40771,66345,107495,144367,173691,191217,186698,7.41549,17.6133,-4.07775,1695,536,1,204,20,139,-177,1952,1952,2003,2003,2003
86,Granite,2013,1376,21,121,46,184915,143633,117599,72054,43585,28964,37905,62923,104888,143522,174125,192412,184915,7.58176,18.12,-4.5971,1398,361,3,23,40,-16,-33,1939,1939,2003,2003,2003
87,Granite,2013,1332,8,147,11,196511,154472,129571,82158,51397,34395,45171,72656,116602,155191,185445,203683,196511,8.09439,18.9921,-3.69868,1303,327,1,99,20,90,-260,1980,1980,1980,1980,1980
